x	y	showSelected1
1	4	1
2	3.5	2
3	2.66666666666667	3
4	4.5	4
5	4.4	5
6	3.66666666666667	6
7	3.57142857142857	7
8	3.875	8
9	4	9
10	2.1	10
11	3.81818181818182	11
12	3.91666666666667	12
13	4.38461538461539	13
14	3.64285714285714	14
15	3.86666666666667	15
16	3.625	16
17	3.58823529411765	17
18	3.22222222222222	18
19	3.15789473684211	19
20	3.75	20
21	4.52380952380952	21
22	3.31818181818182	22
23	3.95652173913043	23
24	3.25	24
25	3.16	25
26	3.76923076923077	26
27	3.7037037037037	27
28	2.96428571428571	28
29	3.24137931034483	29
30	3.26666666666667	30
31	3.38709677419355	31
32	3.53125	32
33	3.21212121212121	33
34	4.05882352941176	34
35	3.6	35
36	3.63888888888889	36
37	3.81081081081081	37
38	3.31578947368421	38
39	2.94871794871795	39
40	3.7	40
41	3.19512195121951	41
42	2.95238095238095	42
43	3.69767441860465	43
44	3.70454545454545	44
45	3.17777777777778	45
46	3.30434782608696	46
47	3.82978723404255	47
48	3.64583333333333	48
49	3.22448979591837	49
50	3.68	50
51	3.68627450980392	51
52	3.32692307692308	52
53	3.35849056603774	53
54	3.5	54
55	3.25454545454545	55
56	3.28571428571429	56
57	2.98245614035088	57
58	3.6551724137931	58
59	3.94915254237288	59
60	3.43333333333333	60
61	3.52459016393443	61
62	3.80645161290323	62
63	3.3015873015873	63
64	3.078125	64
65	3.53846153846154	65
66	3.31818181818182	66
67	3.52238805970149	67
68	3.11764705882353	68
69	3.7536231884058	69
70	3.6	70
71	3.28169014084507	71
72	3.52777777777778	72
73	3.6986301369863	73
74	3.2027027027027	74
75	3.37333333333333	75
76	3.67105263157895	76
77	3.1948051948052	77
78	3.70512820512821	78
79	3.36708860759494	79
80	3.8	80
81	3.79012345679012	81
82	3.6219512195122	82
83	3.40963855421687	83
84	3.53571428571429	84
85	3.45882352941177	85
86	3.47674418604651	86
87	3.32183908045977	87
88	3.15909090909091	88
89	3.60674157303371	89
